Date,USSWAP2Y,USGOVT2Y
1/2/2017,1.455,1.1903
1/3/2017,1.4673,1.2161
1/4/2017,1.4613,1.216
1/5/2017,1.431,1.164
1/6/2017,1.4843,1.2118
1/9/2017,1.4662,1.1836
1/10/2017,1.474,1.1876
1/11/2017,1.4792,1.1875
1/12/2017,1.466,1.1753
1/13/2017,1.4913,1.1951
1/16/2017,1.4885,1.1951
1/17/2017,1.4497,1.1544
1/18/2017,1.5226,1.2234
1/19/2017,1.536,1.2234
1/20/2017,1.516,1.1905
1/23/2017,1.4688,1.1454
1/24/2017,1.5002,1.1945
1/25/2017,1.5192,1.2361
1/26/2017,1.515,1.2261
1/27/2017,1.5138,1.2202
1/30/2017,1.513,1.2142
1/31/2017,1.4975,1.2064
2/1/2017,1.5068,1.2145
2/2/2017,1.5086,1.2066
2/3/2017,1.5023,1.1989
2/6/2017,1.4775,1.151
2/7/2017,1.483,1.167
2/8/2017,1.4497,1.143
2/9/2017,1.4905,1.1792
2/10/2017,1.507,1.1915
2/13/2017,1.521,1.2038
2/14/2017,1.556,1.2363
2/15/2017,1.5855,1.2486
2/16/2017,1.5618,1.2041
2/17/2017,1.548,1.1902
2/20/2017,1.5555,1.1902
2/21/2017,1.5828,1.2087
2/22/2017,1.5615,1.2182
2/23/2017,1.5348,1.1845
2/24/2017,1.516,1.1448
2/27/2017,1.5522,1.1964
2/28/2017,1.6105,1.2621
3/1/2017,1.6253,1.2862
3/2/2017,1.6573,1.3104
3/3/2017,1.65,1.3071
3/6/2017,1.636,1.3073
3/7/2017,1.648,1.3297
3/8/2017,1.6715,1.3562
3/9/2017,1.7035,1.3747
3/10/2017,1.6957,1.3554
3/13/2017,1.7127,1.374
3/14/2017,1.7088,1.3784
3/15/2017,1.6407,1.3014
3/16/2017,1.6673,1.3342
3/17/2017,1.6518,1.3177
3/20/2017,1.6343,1.2903
3/21/2017,1.6175,1.2619
3/22/2017,1.6085,1.2498
3/23/2017,1.6236,1.254
3/24/2017,1.6203,1.2587
3/27/2017,1.5994,1.2547
3/28/2017,1.6325,1.3036
3/29/2017,1.6071,1.2718
3/30/2017,1.6385,1.2837
3/31/2017,1.618,1.256
4/3/2017,1.5788,1.228
4/4/2017,1.5933,1.254
4/5/2017,1.5696,1.236
4/6/2017,1.5785,1.24
4/7/2017,1.6155,1.2892
4/10/2017,1.5979,1.2761
4/11/2017,1.5571,1.2358
4/12/2017,1.5215,1.2035
4/13/2017,1.533,1.2073
4/14/2017,1.535,1.2073
4/17/2017,1.5325,1.2032
4/18/2017,1.4803,1.1624
4/19/2017,1.4993,1.1786
4/20/2017,1.5282,1.1867
4/21/2017,1.5323,1.1823
4/24/2017,1.5644,1.2314
4/25/2017,1.603,1.2725
4/26/2017,1.5845,1.2737
4/27/2017,1.5652,1.2599
4/28/2017,1.5725,1.2639
5/1/2017,1.5825,1.2759
5/2/2017,1.5645,1.2599
5/3/2017,1.5857,1.2959
5/4/2017,1.5989,1.3079
5/5/2017,1.604,1.3122
5/8/2017,1.6226,1.3324
5/9/2017,1.6136,1.3425
5/10/2017,1.6025,1.3568
5/11/2017,1.5895,1.3367
5/12/2017,1.5352,1.2925
5/15/2017,1.5325,1.3006
5/16/2017,1.5329,1.3007
5/17/2017,1.4692,1.2479
5/18/2017,1.4951,1.2703
5/19/2017,1.513,1.2724
5/22/2017,1.528,1.2847
5/23/2017,1.5452,1.3053
5/24/2017,1.5135,1.2837
5/25/2017,1.536,1.2957
5/26/2017,1.5313,1.2957
5/29/2017,1.5325,1.2957
5/30/2017,1.51,1.2857
5/31/2017,1.5105,1.2838
6/1/2017,1.5258,1.2918
6/2/2017,1.5125,1.2899
6/5/2017,1.5184,1.304
6/6/2017,1.508,1.296
6/7/2017,1.5195,1.3102
6/8/2017,1.5303,1.3183
6/9/2017,1.544,1.3367
6/12/2017,1.549,1.3571
6/13/2017,1.5638,1.3653
6/14/2017,1.5205,1.333
6/15/2017,1.542,1.3534
6/16/2017,1.5265,1.3171
6/19/2017,1.5603,1.3581
6/20/2017,1.5507,1.346
6/21/2017,1.544,1.3502
6/22/2017,1.533,1.3421
6/23/2017,1.5455,1.3425
6/26/2017,1.5489,1.3344
6/27/2017,1.571,1.3712
6/28/2017,1.573,1.3553
6/29/2017,1.5903,1.3712
6/30/2017,1.6178,1.3836
7/3/2017,1.6435,1.4121
7/4/2017,1.644,1.4121
7/5/2017,1.6477,1.4042
7/6/2017,1.6497,1.3964
7/7/2017,1.6475,1.401
7/10/2017,1.6407,1.3851
7/11/2017,1.6252,1.3772
7/12/2017,1.5975,1.3449
7/13/2017,1.607,1.3653
7/14/2017,1.595,1.3576
7/17/2017,1.5935,1.3578
7/18/2017,1.5785,1.3498
7/19/2017,1.5953,1.3581
7/20/2017,1.598,1.3541
7/21/2017,1.5915,1.3422
7/24/2017,1.601,1.3588
7/25/2017,1.6314,1.3919
7/26/2017,1.5924,1.3571
7/27/2017,1.6047,1.3651
7/28/2017,1.591,1.3492
7/31/2017,1.599,1.3521
8/1/2017,1.5863,1.3441
8/2/2017,1.603,1.361
8/3/2017,1.5863,1.341
8/4/2017,1.605,1.3529
8/7/2017,1.603,1.3528
8/8/2017,1.6114,1.3528
8/9/2017,1.6014,1.3407
8/10/2017,1.5853,1.3276
8/11/2017,1.5544,1.296
8/14/2017,1.576,1.3202
8/15/2017,1.6062,1.3495
8/16/2017,1.5889,1.3281
8/17/2017,1.5738,1.2986
8/18/2017,1.5751,1.3075
8/21/2017,1.562,1.3033
8/22/2017,1.5825,1.3236
8/23/2017,1.5545,1.3072
8/24/2017,1.573,1.3317
8/25/2017,1.5625,1.3346
8/28/2017,1.5456,1.3273
8/29/2017,1.52,1.3185
8/30/2017,1.5371,1.3274
8/31/2017,1.5345,1.3275
9/1/2017,1.5538,1.344
9/4/2017,1.542,1.344
9/5/2017,1.5093,1.292
9/6/2017,1.534,1.3041
9/7/2017,1.5057,1.264
9/8/2017,1.5018,1.264
9/11/2017,1.5479,1.3206
9/12/2017,1.5672,1.3369
9/13/2017,1.5885,1.3491
9/14/2017,1.6125,1.3635
9/15/2017,1.6379,1.3823
9/18/2017,1.655,1.3968
9/19/2017,1.6627,1.4021
9/20/2017,1.7016,1.4403
9/21/2017,1.714,1.4405
9/22/2017,1.702,1.4331
9/25/2017,1.6909,1.425
9/26/2017,1.7067,1.4377
9/27/2017,1.7273,1.4727
9/28/2017,1.7035,1.4528
9/29/2017,1.742,1.4857
10/2/2017,1.7415,1.4849
10/3/2017,1.7363,1.473
10/4/2017,1.744,1.4731
10/5/2017,1.7617,1.4893
10/6/2017,1.7721,1.5061
10/9/2017,1.776,1.5061
10/10/2017,1.7773,1.5143
10/11/2017,1.781,1.5206
10/12/2017,1.7737,1.5147
10/13/2017,1.7533,1.4949
10/16/2017,1.7982,1.5399
10/17/2017,1.8058,1.5483
10/18/2017,1.8119,1.565
10/19/2017,1.779,1.5324
10/20/2017,1.8146,1.5784
10/23/2017,1.7984,1.5663
10/24/2017,1.8221,1.5831
10/25/2017,1.825,1.5969
10/26/2017,1.8441,1.6169
10/27/2017,1.8216,1.5895
10/30/2017,1.8022,1.5757
10/31/2017,1.8195,1.6017
11/1/2017,1.8295,1.6139
11/2/2017,1.8207,1.61
11/3/2017,1.8238,1.6155
11/6/2017,1.8281,1.6227
11/7/2017,1.8367,1.6309
11/8/2017,1.8438,1.6473
11/9/2017,1.8365,1.6363
11/10/2017,1.856,1.6562
11/13/2017,1.8808,1.6829
11/14/2017,1.8735,1.6892
11/15/2017,1.8605,1.6854
11/16/2017,1.89,1.7102
11/17/2017,1.888,1.7234
11/20/2017,1.9197,1.7526
11/21/2017,1.9442,1.7725
11/22/2017,1.9035,1.7288
11/23/2017,1.9063,1.7288
11/24/2017,1.9233,1.7474
11/27/2017,1.92,1.7425
11/28/2017,1.921,1.748
11/29/2017,1.9446,1.764
11/30/2017,1.9716,1.784
12/1/2017,1.961,1.773
12/4/2017,1.988,1.8083
12/5/2017,1.9943,1.8204
12/6/2017,1.984,1.8084
12/7/2017,1.991,1.8044
12/8/2017,1.9975,1.7965
12/11/2017,2.0149,1.8209
12/12/2017,2.0256,1.8292
12/13/2017,1.9827,1.7763
12/14/2017,2.0121,1.8131
12/15/2017,2.0252,1.8379
12/18/2017,2.0333,1.8298
12/19/2017,2.0621,1.8545
12/20/2017,2.0706,1.8588
12/21/2017,2.0856,1.8796
12/22/2017,2.1003,1.8927
12/25/2017,2.1,1.8927
12/26/2017,2.0978,1.9012
12/27/2017,2.0722,1.894
12/28/2017,2.0883,1.9091
12/29/2017,2.0738,1.885
1/1/2018,2.075,1.885
1/2/2018,2.1061,1.9211
1/3/2018,2.112,1.9333
1/4/2018,2.1395,1.9535
1/5/2018,2.1482,1.9619
1/8/2018,2.146,1.959
1/9/2018,2.1657,1.9702
1/10/2018,2.1689,1.9744
1/11/2018,2.1703,1.9796
1/12/2018,2.1946,1.9996
1/15/2018,2.215,1.9996
1/16/2018,2.217,2.0162
1/17/2018,2.2467,2.0452
1/18/2018,2.2523,2.0454
